,gene,tier
1,AAMP,Tier1
2,AARS1,Tier1
3,AATF,Tier1
4,ABCE1,Tier1
5,ACTL6A,Tier1
6,ACTR10,Tier1
7,ACTR2,Tier1
8,ACTR6,Tier1
9,ACTR8,Tier1
10,AFG3L2,Tier1
11,AGAP6,Tier1
12,AHCTF1,Tier1
13,AKIRIN2,Tier1
14,ALDOA,Tier1
15,ALG1,Tier1
16,ALG11,Tier1
17,ALG14,Tier1
18,ALG1L,Tier1
19,ALG2,Tier1
20,ALYREF,Tier1
21,ANAPC1,Tier1
22,ANAPC10,Tier1
23,ANAPC11,Tier1
24,ANAPC2,Tier1
25,ANAPC4,Tier1
26,ANAPC5,Tier1
27,ANKLE2,Tier1
28,AQR,Tier1
29,ARCN1,Tier1
30,ARGLU1,Tier1
31,ARIH1,Tier1
32,ARL2,Tier1
33,ARMC7,Tier1
34,ATP2A2,Tier1
35,ATP6V0B,Tier1
36,ATP6V0C,Tier1
37,ATP6V0D1,Tier1
38,ATP6V1A,Tier1
39,ATP6V1B2,Tier1
40,ATP6V1C1,Tier1
41,ATP6V1D,Tier1
42,ATP6V1E1,Tier1
43,ATP6V1F,Tier1
44,ATP6V1G1,Tier1
45,ATP6V1H,Tier1
46,ATR,Tier1
47,AURKA,Tier1
48,AURKB,Tier1
49,BANF1,Tier1
50,BANP,Tier1
51,BCAS2,Tier1
52,BCLAF1,Tier1
53,BIRC5,Tier1
54,BMS1,Tier1
55,BOP1,Tier1
56,BRD4,Tier1
57,BRF1,Tier1
58,BRF2,Tier1
59,BRIX1,Tier1
60,BUB1B,Tier1
61,BUB3,Tier1
62,BUD13,Tier1
63,BUD23,Tier1
64,BUD31,Tier1
65,BYSL,Tier1
66,C1orf109,Tier1
67,C1orf131,Tier1
68,CACTIN,Tier1
69,CAPZB,Tier1
70,CARS1,Tier1
71,CCDC59,Tier1
72,CCDC86,Tier1
73,CCNA2,Tier1
74,CCNH,Tier1
75,CCNK,Tier1
76,CCT2,Tier1
77,CCT3,Tier1
78,CCT4,Tier1
79,CCT5,Tier1
80,CCT6A,Tier1
81,CCT7,Tier1
82,CCT8,Tier1
83,CDC123,Tier1
84,CDC16,Tier1
85,CDC20,Tier1
86,CDC23,Tier1
87,CDC26,Tier1
88,CDC27,Tier1
89,CDC37,Tier1
90,CDC40,Tier1
91,CDC42,Tier1
92,CDC45,Tier1
93,CDC5L,Tier1
94,CDC6,Tier1
95,CDC7,Tier1
96,CDC73,Tier1
97,CDCA5,Tier1
98,CDCA8,Tier1
99,CDK1,Tier1
100,CDK7,Tier1
101,CDK9,Tier1
102,CDT1,Tier1
103,CEBPZ,Tier1
104,CENPA,Tier1
105,CENPC,Tier1
106,CENPE,Tier1
107,CENPK,Tier1
108,CENPM,Tier1
109,CENPN,Tier1
110,CENPW,Tier1
111,CFAP298,Tier1
112,CHAF1A,Tier1
113,CHAF1B,Tier1
114,CHCHD4,Tier1
115,CHEK1,Tier1
116,CHERP,Tier1
117,CHMP2A,Tier1
118,CHMP6,Tier1
119,CHORDC1,Tier1
120,CIAO2B,Tier1
121,CIAO3,Tier1
122,CIAPIN1,Tier1
123,CINP,Tier1
124,CKAP5,Tier1
125,CLNS1A,Tier1
126,CLP1,Tier1
127,CLSPN,Tier1
128,CLTC,Tier1
129,CMPK1,Tier1
130,CMTR1,Tier1
131,CNOT3,Tier1
132,COG3,Tier1
133,COPA,Tier1
134,COPB1,Tier1
135,COPB2,Tier1
136,COPE,Tier1
137,COPG1,Tier1
138,COPS2,Tier1
139,COPS4,Tier1
140,COPS5,Tier1
141,COPS6,Tier1
142,COPS8,Tier1
143,COPZ1,Tier1
144,COX17,Tier1
145,CPSF1,Tier1
146,CPSF2,Tier1
147,CPSF3,Tier1
148,CRCP,Tier1
149,CRNKL1,Tier1
150,CSE1L,Tier1
151,CSNK1A1,Tier1
152,CSNK2B,Tier1
153,CSTF3,Tier1
154,CTCF,Tier1
155,CTDP1,Tier1
156,CTNNBL1,Tier1
157,CTR9,Tier1
158,CUL1,Tier1
159,CWC22,Tier1
160,CYCS,Tier1
161,DAD1,Tier1
162,DARS1,Tier1
163,DBF4,Tier1
164,DBR1,Tier1
165,DCTN2,Tier1
166,DCTN3,Tier1
167,DCTN5,Tier1
168,DCTN6,Tier1
169,DDB1,Tier1
170,DDOST,Tier1
171,DDX10,Tier1
172,DDX11,Tier1
173,DDX18,Tier1
174,DDX20,Tier1
175,DDX21,Tier1
176,DDX23,Tier1
177,DDX24,Tier1
178,DDX27,Tier1
179,DDX41,Tier1
180,DDX46,Tier1
181,DDX47,Tier1
182,DDX49,Tier1
183,DDX54,Tier1
184,DDX56,Tier1
185,DDX59,Tier1
186,DDX6,Tier1
187,DENR,Tier1
188,DHDDS,Tier1
189,DHPS,Tier1
190,DHX15,Tier1
191,DHX16,Tier1
192,DHX36,Tier1
193,DHX37,Tier1
194,DHX8,Tier1
195,DHX9,Tier1
196,DMAP1,Tier1
197,DNAJA3,Tier1
198,DNAJC17,Tier1
199,DNAJC8,Tier1
200,DNM2,Tier1
201,DONSON,Tier1
202,DPH3,Tier1
203,DSN1,Tier1
204,DTL,Tier1
205,DTYMK,Tier1
206,DUT,Tier1
207,DYNC1H1,Tier1
208,DYNC1I2,Tier1
209,DYNLRB1,Tier1
210,EBNA1BP2,Tier1
211,ECD,Tier1
212,ECT2,Tier1
213,EEF1A1,Tier1
214,EEF1B2,Tier1
215,EEF1G,Tier1
216,EEF2,Tier1
217,EEF2KMT,Tier1
218,EFL1,Tier1
219,EFTUD2,Tier1
220,EIF1,Tier1
221,EIF2B2,Tier1
222,EIF2B3,Tier1
223,EIF2B4,Tier1
224,EIF2B5,Tier1
225,EIF2S1,Tier1
226,EIF2S2,Tier1
227,EIF3A,Tier1
228,EIF3B,Tier1
229,EIF3D,Tier1
230,EIF3E,Tier1
231,EIF3F,Tier1
232,EIF3G,Tier1
233,EIF3I,Tier1
234,EIF3M,Tier1
235,EIF4A1,Tier1
236,EIF4A3,Tier1
237,EIF4E,Tier1
238,EIF4G1,Tier1
239,EIF5,Tier1
240,EIF5A,Tier1
241,EIF6,Tier1
242,ELAC2,Tier1
243,ELL,Tier1
244,ELOB,Tier1
245,ELOC,Tier1
246,ELP1,Tier1
247,ELP3,Tier1
248,ELP5,Tier1
249,ERCC2,Tier1
250,ERCC3,Tier1
251,ERH,Tier1
252,ESF1,Tier1
253,ESPL1,Tier1
254,ESS2,Tier1
255,ETF1,Tier1
256,EWSR1,Tier1
257,EXOSC2,Tier1
258,EXOSC3,Tier1
259,EXOSC4,Tier1
260,EXOSC5,Tier1
261,EXOSC7,Tier1
262,EXOSC8,Tier1
263,EXOSC9,Tier1
264,FAM32A,Tier1
265,FAM86B1,Tier1
266,FARSA,Tier1
267,FARSB,Tier1
268,FAU,Tier1
269,FBL,Tier1
270,FBXO5,Tier1
271,FCF1,Tier1
272,FDX2,Tier1
273,FIP1L1,Tier1
274,FNTA,Tier1
275,FNTB,Tier1
276,FOXD4,Tier1
277,GABPA,Tier1
278,GARS1,Tier1
279,GBF1,Tier1
280,GEMIN4,Tier1
281,GEMIN5,Tier1
282,GEMIN6,Tier1
283,GEMIN7,Tier1
284,GGPS1,Tier1
285,GGTLC2,Tier1
286,GINS1,Tier1
287,GINS2,Tier1
288,GINS3,Tier1
289,GINS4,Tier1
290,GMPPB,Tier1
291,GNL2,Tier1
292,GNL3,Tier1
293,GOSR2,Tier1
294,GPN1,Tier1
295,GPN2,Tier1
296,GPN3,Tier1
297,GPS1,Tier1
298,GRPEL1,Tier1
299,GRWD1,Tier1
300,GSPT1,Tier1
301,GTF2A1,Tier1
302,GTF2A2,Tier1
303,GTF2B,Tier1
304,GTF2E1,Tier1
305,GTF2E2,Tier1
306,GTF2F2,Tier1
307,GTF2H1,Tier1
308,GTF3A,Tier1
309,GTF3C1,Tier1
310,GTF3C2,Tier1
311,GTPBP4,Tier1
312,GUK1,Tier1
313,H2AZ1,Tier1
314,HAUS1,Tier1
315,HAUS3,Tier1
316,HAUS4,Tier1
317,HAUS5,Tier1
318,HAUS6,Tier1
319,HAUS8,Tier1
320,HDAC3,Tier1
321,HEATR1,Tier1
322,HINFP,Tier1
323,H2AC17,Tier1
324,H2BC3,Tier1
325,H2BC4,Tier1
326,H2BC6,Tier1
327,H2BC7,Tier1
328,H2BC9,Tier1
329,H2BC11,Tier1
330,H2BC13,Tier1
331,H2BC15,Tier1
332,H3C13,Tier1
333,HJURP,Tier1
334,HMGA1,Tier1
335,HMGCR,Tier1
336,HMGCS1,Tier1
337,HNRNPC,Tier1
338,HNRNPH1,Tier1
339,HNRNPK,Tier1
340,HNRNPL,Tier1
341,HNRNPM,Tier1
342,HNRNPU,Tier1
343,HSPA5,Tier1
344,HSPA8,Tier1
345,HSPA9,Tier1
346,HSPE1,Tier1
347,HYPK,Tier1
348,IARS1,Tier1
349,ICE1,Tier1
350,IFITM3,Tier1
351,ILF2,Tier1
352,ILF3,Tier1
353,IMP3,Tier1
354,IMP4,Tier1
355,INCENP,Tier1
356,INTS1,Tier1
357,INTS11,Tier1
358,INTS2,Tier1
359,INTS3,Tier1
360,INTS4,Tier1
361,INTS5,Tier1
362,INTS7,Tier1
363,INTS8,Tier1
364,INTS9,Tier1
365,IPO11,Tier1
366,IPO13,Tier1
367,ISCU,Tier1
368,ISG20L2,Tier1
369,ISY1,Tier1
370,KANSL2,Tier1
371,KANSL3,Tier1
372,KARS1,Tier1
373,KAT8,Tier1
374,KCMF1,Tier1
375,KIF11,Tier1
376,KIF18A,Tier1
377,KIF23,Tier1
378,KIN,Tier1
379,KNL1,Tier1
380,KPNB1,Tier1
381,KRR1,Tier1
382,KRT8,Tier1
383,LARS1,Tier1
384,LCE1A,Tier1
385,LCE1E,Tier1
386,LETM1,Tier1
387,LIN52,Tier1
388,LONP1,Tier1
389,LSG1,Tier1
390,LSM11,Tier1
391,LSM2,Tier1
392,LSM3,Tier1
393,LSM4,Tier1
394,LSM5,Tier1
395,LSM6,Tier1
396,LSM7,Tier1
397,LTO1,Tier1
398,LTV1,Tier1
399,LUC7L3,Tier1
400,LYRM4,Tier1
401,MAD2L1,Tier1
402,MAD2L2,Tier1
403,MAK16,Tier1
404,MARS1,Tier1
405,MASTL,Tier1
406,MAT2A,Tier1
407,MAX,Tier1
408,MCM2,Tier1
409,MCM3,Tier1
410,MCM3AP,Tier1
411,MCM4,Tier1
412,MCM5,Tier1
413,MCM6,Tier1
414,MCM7,Tier1
415,MDN1,Tier1
416,MED11,Tier1
417,MED17,Tier1
418,MED18,Tier1
419,MED20,Tier1
420,MED21,Tier1
421,MED27,Tier1
422,MED28,Tier1
423,MED30,Tier1
424,MED31,Tier1
425,MED4,Tier1
426,MED6,Tier1
427,MED7,Tier1
428,MED9,Tier1
429,MEPCE,Tier1
430,METTL14,Tier1
431,METTL16,Tier1
432,MFAP1,Tier1
433,MIS18A,Tier1
434,MIS18BP1,Tier1
435,MMS22L,Tier1
436,MPHOSPH10,Tier1
437,MRGBP,Tier1
438,MRPL34,Tier1
439,MRPS14,Tier1
440,MRPS21,Tier1
441,MST1,Tier1
442,MTBP,Tier1
443,MTOR,Tier1
444,MTREX,Tier1
445,MYBBP1A,Tier1
446,MYC,Tier1
447,MZT1,Tier1
448,NAA15,Tier1
449,NAA20,Tier1
